REPORT_ID	RESERVATION_DATE	CHAR_RESERVATION_DATE	MARKET_CODE	CF_MARKET_CODE_SEQ	MARKET_CODE_DESC	S_DEF_ROOMS_DAY	S_DEF_ROOMS_MKT	S_REV_DAY	S_REV_MKT	DAY_ROOMS	TOT_ARR_DAY	TOT_ARR_MKT	ARRIVAL_RMS_DAY	ARR_RMS_MKT	GUEST_DAY	GUEST_MKT	DOUBLE_OCC_DAY	DOUBLE_OCC_MKT	SINGLE_OCC_DAY	SINGLE_OCC_MKT	PER_DOUBLE_MKT	PER_DOUBLE_OCC_DAY	PER_OCC_DAY	PER_OCC_MKT	CS_SUM_OO_MKT	CS_AVG_OO_DAY	NO_DEFINITE_ROOMS	ARRIVAL_RMS	NO_OF_GUESTS	SINGLE_OCCUPANCY	MULTI_OCCUPANCY	TOTAL_REVENUE	OO_ROOMS	PRINT_NO_OF_ROOMS	GET_ARR	PER_OCC	MULTI_OCC_PER
39360432	16-OCT-21	16-10-21	ATP	ATP	ATP	147	0	45078.8	0		306.658503	0	10	0	365	0	132	0	15	0	0	89.7959184	63.9130435	0	815	18	0	0	0	0	0	0	18	0	0	0	0
39360432	16-OCT-21	16-10-21	BPR	BPR	BPR	147	0	45078.8	0		306.658503	0	10	0	365	0	132	0	15	0	0	89.7959184	63.9130435	0	815	18	0	0	0	0	0	0	18	0	0	0	0
39360432	16-OCT-21	16-10-21	CMP	CMP	CMP	147	169	45078.8	0		306.658503	0	10	0	365	254	132	85	15	84	50.2958580	89.7959184	63.9130435	.187875891	815	18	5	0	7	3	2	0	18	5	0	2.17391304	40
39360432	16-OCT-21	16-10-21	CNT	CNT	CNT	147	240	45078.8	0		306.658503	0	10	29	365	869	132	229	15	11	95.4166667	89.7959184	63.9130435	.266805999	815	18	33	5	106	3	30	0	18	33	0	14.3478261	90.9090909
39360432	16-OCT-21	16-10-21	COM	COM	COM	147	710	45078.8	179054.79		306.658503	252.189845	10	65	365	2112	132	695	15	15	97.8873239	89.7959184	63.9130435	.789301079	815	18	47	3	122	0	47	24176.09	18	47	514.3848936170212765957446808510638298	20.4347826	100
39360432	16-OCT-21	16-10-21	DIS	DIS	DIS	147	0	45078.8	0		306.658503	0	10	0	365	0	132	0	15	0	0	89.7959184	63.9130435	0	815	18	0	0	0	0	0	0	18	0	0	0	0
39360432	16-OCT-21	16-10-21	GAS	GAS	GAS	147	0	45078.8	0		306.658503	0	10	0	365	0	132	0	15	0	0	89.7959184	63.9130435	0	815	18	0	0	0	0	0	0	18	0	0	0	0
39360432	16-OCT-21	16-10-21	GCM	GCM	GCM	147	0	45078.8	0		306.658503	0	10	0	365	0	132	0	15	0	0	89.7959184	63.9130435	0	815	18	0	0	0	0	0	0	18	0	0	0	0
39360432	16-OCT-21	16-10-21	GCP	GCP	GCP	147	0	45078.8	0		306.658503	0	10	0	365	0	132	0	15	0	0	89.7959184	63.9130435	0	815	18	0	0	0	0	0	0	18	0	0	0	0
39360432	16-OCT-21	16-10-21	GDP	GDP	GDP	147	0	45078.8	0		306.658503	0	10	0	365	0	132	0	15	0	0	89.7959184	63.9130435	0	815	18	0	0	0	0	0	0	18	0	0	0	0
