REPORT_ID	RESERVATION_DATE	CHAR_RESERVATION_DATE	MARKET_CODE	CF_MARKET_CODE_SEQ	MARKET_CODE_DESC	S_DEF_ROOMS_DAY	S_DEF_ROOMS_MKT	S_REV_DAY	S_REV_MKT	DAY_ROOMS	TOT_ARR_DAY	TOT_ARR_MKT	ARRIVAL_RMS_DAY	ARR_RMS_MKT	GUEST_DAY	GUEST_MKT	DOUBLE_OCC_DAY	DOUBLE_OCC_MKT	SINGLE_OCC_DAY	SINGLE_OCC_MKT	PER_DOUBLE_MKT	PER_DOUBLE_OCC_DAY	PER_OCC_DAY	PER_OCC_MKT	CS_SUM_OO_MKT	CS_AVG_OO_DAY	NO_DEFINITE_ROOMS	ARRIVAL_RMS	NO_OF_GUESTS	SINGLE_OCCUPANCY	MULTI_OCCUPANCY	TOTAL_REVENUE	OO_ROOMS	PRINT_NO_OF_ROOMS	GET_ARR	PER_OCC	MULTI_OCC_PER
41361680	01-MAY-22	01-05-22	ATP	ATP	ATP	87	0	27343.24	0		314.290115	0	59	0	132	0	30	0	57	0	0	34.4827586	36.5546218	0	2460	10	0	0	0	0	0	0	10	0	0	0	0
41361680	01-MAY-22	01-05-22	BPR	BPR	BPR	87	0	27343.24	0		314.290115	0	59	0	132	0	30	0	57	0	0	34.4827586	36.5546218	0	2460	10	0	0	0	0	0	0	10	0	0	0	0
41361680	01-MAY-22	01-05-22	CMP	CMP	CMP	87	188	27343.24	0		314.290115	0	59	6	132	427	30	177	57	11	94.1489362	34.4827586	36.5546218	.212891244	2460	10	13	1	32	1	12	0	10	13	0	5.46218487	92.3076923
41361680	01-MAY-22	01-05-22	CNT	CNT	CNT	87	227	27343.24	0		314.290115	0	59	32	132	604	30	187	57	40	82.3788546	34.4827586	36.5546218	.257054853	2460	10	3	1	4	2	1	0	10	3	0	1.26050420	33.3333333
41361680	01-MAY-22	01-05-22	COM	COM	COM	87	249	27343.24	151986.05		314.290115	610.385743	59	83	132	646	30	217	57	32	87.1485944	34.4827586	36.5546218	.281967659	2460	10	11	7	27	1	10	7225.8	10	11	656.8909090909090909090909090909090909	4.62184874	90.9090909
41361680	01-MAY-22	01-05-22	DIS	DIS	DIS	87	0	27343.24	0		314.290115	0	59	0	132	0	30	0	57	0	0	34.4827586	36.5546218	0	2460	10	0	0	0	0	0	0	10	0	0	0	0
41361680	01-MAY-22	01-05-22	GAS	GAS	GAS	87	0	27343.24	0		314.290115	0	59	0	132	0	30	0	57	0	0	34.4827586	36.5546218	0	2460	10	0	0	0	0	0	0	10	0	0	0	0
41361680	01-MAY-22	01-05-22	GCM	GCM	GCM	87	0	27343.24	0		314.290115	0	59	0	132	0	30	0	57	0	0	34.4827586	36.5546218	0	2460	10	0	0	0	0	0	0	10	0	0	0	0
41361680	01-MAY-22	01-05-22	GCP	GCP	GCP	87	256	27343.24	94681.28		314.290115	369.84875	59	58	132	256	30	0	57	256	0	34.4827586	36.5546218	.289894460	2460	10	49	49	49	49	0	18391.04	10	49	375.3273469387755102040816326530612245	20.5882353	0
41361680	01-MAY-22	01-05-22	GDP	GDP	GDP	87	0	27343.24	0		314.290115	0	59	0	132	0	30	0	57	0	0	34.4827586	36.5546218	0	2460	10	0	0	0	0	0	0	10	0	0	0	0
41361680	01-MAY-22	01-05-22	GEP	GEP	GEP	87	0	27343.24	0		314.290115	0	59	0	132	0	30	0	57	0	0	34.4827586	36.5546218	0	2460	10	0	0	0	0	0	0	10	0	0	0	0
41361680	01-MAY-22	01-05-22	GGV	GGV	GGV	87	0	27343.24	0		314.290115	0	59	0	132	0	30	0	57	0	0	34.4827586	36.5546218	0	2460	10	0	0	0	0	0	0	10	0	0	0	0
41361680	01-MAY-22	01-05-22	GMP	GMP	GMP	87	0	27343.24	0		314.290115	0	59	0	132	0	30	0	57	0	0	34.4827586	36.5546218	0	2460	10	0	0	0	0	0	0	10	0	0	0	0
41361680	01-MAY-22	01-05-22	GOV	GOV	GOV	87	0	27343.24	0		314.290115	0	59	0	132	0	30	0	57	0	0	34.4827586	36.5546218	0	2460	10	0	0	0	0	0	0	10	0	0	0	0
41361680	01-MAY-22	01-05-22	GSF	GSF	GSF	87	0	27343.24	0		314.290115	0	59	0	132	0	30	0	57	0	0	34.4827586	36.5546218	0	2460	10	0	0	0	0	0	0	10	0	0	0	0
41361680	01-MAY-22	01-05-22	GTR	GTR	GTR	87	0	27343.24	0		314.290115	0	59	0	132	0	30	0	57	0	0	34.4827586	36.5546218	0	2460	10	0	0	0	0	0	0	10	0	0	0	0
41361680	01-MAY-22	01-05-22	GTT	GTT	GTT	87	0	27343.24	0		314.290115	0	59	0	132	0	30	0	57	0	0	34.4827586	36.5546218	0	2460	10	0	0	0	0	0	0	10	0	0	0	0
41361680	01-MAY-22	01-05-22	HSU	HSU	HSU	87	231	27343.24	0		314.290115	0	59	11	132	378	30	145	57	86	62.7705628	34.4827586	36.5546218	.261584454	2460	10	5	0	6	4	1	0	10	5	0	2.10084034	20
41361680	01-MAY-22	01-05-22	INT	INT	INT	87	0	27343.24	0		314.290115	0	59	0	132	0	30	0	57	0	0	34.4827586	36.5546218	0	2460	10	0	0	0	0	0	0	10	0	0	0	0
41361680	01-MAY-22	01-05-22	IOP	IOP	IOP	87	0	27343.24	0		314.290115	0	59	0	132	0	30	0	57	0	0	34.4827586	36.5546218	0	2460	10	0	0	0	0	0	0	10	0	0	0	0
41361680	01-MAY-22	01-05-22	LOC	LOC	LOC	87	0	27343.24	0		314.290115	0	59	0	132	0	30	0	57	0	0	34.4827586	36.5546218	0	2460	10	0	0	0	0	0	0	10	0	0	0	0
41361680	01-MAY-22	01-05-22	MEG	MEG	MEG	87	0	27343.24	0		314.290115	0	59	0	132	0	30	0	57	0	0	34.4827586	36.5546218	0	2460	10	0	0	0	0	0	0	10	0	0	0	0
41361680	01-MAY-22	01-05-22	NAT	NAT	NAT	87	0	27343.24	0		314.290115	0	59	0	132	0	30	0	57	0	0	34.4827586	36.5546218	0	2460	10	0	0	0	0	0	0	10	0	0	0	0
41361680	01-MAY-22	01-05-22	PKG	PKG	PKG	87	148	27343.24	35981.6		314.290115	243.118919	59	52	132	431	30	143	57	5	96.6216216	34.4827586	36.5546218	.167595235	2460	10	3	0	8	0	3	344.83	10	3	114.9433333333333333333333333333333333	1.26050420	100
41361680	01-MAY-22	01-05-22	SLB	SLB	SLB	87	0	27343.24	0		314.290115	0	59	0	132	0	30	0	57	0	0	34.4827586	36.5546218	0	2460	10	0	0	0	0	0	0	10	0	0	0	0
